Time,Humidity,Temperature
2021-08-22 16:21:38.468864,71,32
2021-08-22 16:21:44.207364,52,19
2021-08-22 16:21:50.002976,94,34
2021-08-22 16:21:55.612499,79,15
2021-08-22 16:22:01.373699,80,29
2021-08-22 16:22:07.176551,92,34
2021-08-22 16:22:12.795119,92,20
2021-08-22 16:22:18.401804,57,15
2021-08-22 16:22:24.008052,58,34
2021-08-22 16:22:29.582027,56,20
2021-08-22 16:22:35.203590,65,13
2021-08-22 16:22:40.765933,75,30
2021-08-22 16:22:46.308927,93,21
2021-08-22 16:22:51.893859,94,15
